local_id,year,title,doi,openalex_id,paper_no,article_no,crossref_candidate_doi,crossref_title_similarity,openalex_title_similarity,local_author_count,network_author_nodes
publication:2025:1db57459fa26,2025,A Hybrid Data-Driven Optimization and Decision-Making Approach for a Digital Twin Environment: Towards Customizing Production Platforms,10.1016/j.ijpe.2024.109447,https://openalex.org/W4403818661,,109447,10.1016/j.ijpe.2024.109447,1.0,1.0,5,7
publication:2025:ccaffb592a9f,2025,A Hybrid Multi-Criteria Decision-Making Approach for Production Line Configuration based on Product Modularity and Life Cycle,10.1080/09544828.2025.2500862,https://openalex.org/W4410155528,,,10.1080/09544828.2025.2500862,0.996,0.996,5,8
publication:2025:4df650d3e974,2025,AI-based Mechanical Properties Prediction of Sintering-aging Combined Effect in Metal-material Extrusion,10.1007/s40684-025-00826-w,https://openalex.org/W7143361878,,,10.1007/s40684-025-00826-w,1.0,1.0,6,9
publication:2025:08216a5c268a,2025,Audio-visual cross-modality knowledge transfer for machine learning-based in-situ monitoring in laser additive manufacturing,10.1016/j.addma.2025.104692,https://openalex.org/W4407158731,,104692,10.1016/j.addma.2025.104692,1.0,1.0,4,6
publication:2025:833fe69c8759,2025,Autonomous printing process optimisation and in-situ anomaly detection in fused deposition modelling using an integrated data-driven approach,10.1080/17452759.2025.2545523,https://openalex.org/W4413439868,,22545523,10.1080/17452759.2025.2545523,1.0,1.0,8,8
publication:2025:c000f9833179,2025,Digital twin driven reconfigurable production line design and optimization in smart factory,,,,,10.1016/b978-0-323-91300-3.00001-2,0.6081,,5,5
publication:2025:01aaba1b7d07,2025,Enhanced Mechanical Properties and Reduced Anisotropy of Material Extrusion-Manufactured Short Carbon Fiber-Reinforced Plastic via Cold Isostatic Pressing,10.1080/17452759.2025.2499934,https://openalex.org/W4410315868,,e2499934,10.1080/17452759.2025.2499934,0.9935,0.9935,4,5
publication:2025:d9b7265540fa,2025,High-strength joining of additive-manufactured polymer and metal parts via warm isostatic pressing: Applications in medical implants and injection moulds,,https://openalex.org/W4406419125,,e2449566,10.1080/17452759.2024.2449566,0.8963,0.8963,7,8
publication:2025:d5caa7b1dd93,2025,"Temperature Dependent Mechanical Properties of End-of-Life Carbon Reinforced Plastics, “International Journal of Precision Engineering and Manufacturing – Green Technology, 2025 (Accepted)",,,,,10.1007/s40684-025-00754-9,0.625,,6,6
publication:2025:0228055ccde8,2025,Leveraging Vision-Language Models for Manufacturing Feature Recognition in CAD Designs,10.1115/1.4069266,https://openalex.org/W4412708717,,10,10.1115/1.4069266,0.9399,0.9399,6,8
publication:2025:36e34c36c95a,2025,Microstructures Formation and Strengthening Mechanism of Ultra-Rapidly Solidified Powder Metallurgy Ti-Si Alloys via Hot Rolling Process,10.2320/matertrans.mt-y2025003,https://openalex.org/W4412619471,,963,10.2320/matertrans.mt-y2025003,1.0,1.0,8,9
publication:2025:cb6b138028bc,2025,Software-Defined Factory: Paradigm Shift in Manufacturing Towards Industry 5.0,10.57062/ijpem-st.2025.00066,https://openalex.org/W4412062241,,201,10.57062/ijpem-st.2025.00066,1.0,1.0,5,7
publication:2025:f59bcb70bcda,2025,Strategic design and simulation of interfaces for enhanced joint performance in metal-polymer hybrid structures,10.1093/jcde/qwaf029,https://openalex.org/W4408317703,,,10.1093/jcde/qwaf029,1.0,1.0,4,5
publication:2024:ec30e96089e7,2024,A Hybrid Simulation-Gaussian Process Regression Approach for Performance Prediction and Reconfiguration of Production Layout,10.1115/detc2024-142477,https://openalex.org/W4404333653,IDETC2024-142477,,10.1115/detc2024-142477,1.0,1.0,2,3
publication:2024:563a5660194c,2024,A digital twin emulator for production performance prediction and optimization using multi-scale ensemble and surrogate models,10.1007/s10845-024-02545-6,https://openalex.org/W4405445762,,,10.1007/s10845-024-02545-6,0.9767,0.9767,5,7
